,satisfaction_score,customer_status,cltv,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,population,latitude,longitude,gender,age,married,number_of_dependents
2118,1,1,5441,4,1,Offer E,True,45.77,False,None,0,False,False,False,False,False,False,False,False,Month-to-Month,False,Mailed Check,19.9,19.9,0.0,0,45.77,74232,32.886925,-117.152162,Male,46,True,1
2523,4,0,4606,1,56,None,True,42.37,True,Fiber Optic,71,False,False,True,False,True,True,True,True,One Year,True,Credit Card,99.8,5515.45,0.0,0,2372.72,15505,33.850504,-118.039892,Female,27,True,0
3237,3,0,6261,10,51,Offer B,True,33.93,False,DSL,13,True,True,True,True,True,True,True,True,Two Year,False,Credit Card,85.5,4421.95,0.0,0,1730.43,4097,38.63153,-120.842609,Female,63,True,0
2979,4,0,4266,0,72,None,False,0.0,False,Cable,10,True,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,65.55,4807.45,0.0,0,0.0,42959,37.74441,-122.486764,Male,45,False,0
4892,3,0,6252,2,72,None,True,16.01,True,Fiber Optic,59,True,True,True,True,True,True,True,True,Two Year,True,Credit Card,116.8,8456.75,0.0,0,1152.72,64010,37.378541,-122.020456,Female,25,True,2
3009,3,0,5917,0,25,None,True,25.2,True,Cable,23,True,True,True,True,False,True,True,True,Month-to-Month,False,Bank Withdrawal,81.75,2028.8,0.0,0,630.0,3193,38.049292,-122.228415,Male,59,False,0
1645,3,1,2644,0,1,None,True,13.84,False,DSL,26,False,False,False,False,False,False,False,False,Month-to-Month,True,Credit Card,45.05,45.05,0.0,70,13.84,8308,37.669516,-120.626964,Male,31,False,0
1066,5,0,5907,5,27,Offer C,True,3.43,True,DSL,21,False,True,True,True,True,True,True,True,Month-to-Month,False,Bank Withdrawal,83.85,2310.2,0.0,0,92.61,21728,34.137411,-118.328915,Female,76,True,0
4289,3,0,5247,0,50,None,True,17.88,False,None,0,False,False,False,False,False,False,False,False,One Year,True,Mailed Check,19.35,1033.0,29.5,0,894.0,1519,39.342587,-121.249833,Female,29,False,0
5019,3,0,2450,0,27,None,True,36.39,False,DSL,26,True,False,True,True,True,False,True,True,One Year,False,Credit Card,69.35,1927.3,0.0,0,982.53,10155,37.233226,-121.78809,Male,19,False,0
4222,3,0,4582,5,64,Offer B,True,17.93,True,None,0,False,False,False,False,False,False,False,False,Two Year,True,Mailed Check,24.05,1559.15,0.0,0,1147.52,364,38.545775,-120.743325,Female,45,True,3
404,1,1,4095,0,1,None,False,0.0,False,Cable,9,False,False,False,False,False,False,False,True,Month-to-Month,True,Mailed Check,25.7,25.7,0.0,0,0.0,476,38.493888,-122.777141,Female,68,False,0
330,1,1,3980,1,34,Offer C,True,25.84,True,Fiber Optic,15,False,True,False,False,False,False,False,True,Month-to-Month,True,Credit Card,79.6,2718.3,0.0,0,878.56,23646,34.17847,-118.459472,Female,79,True,0
310,1,1,5692,0,36,Offer C,True,23.33,True,Fiber Optic,23,True,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,90.85,3186.7,0.0,0,839.8799999999999,3749,40.759401,-122.939337,Male,69,False,0
4430,5,0,5764,0,56,Offer B,True,13.89,False,None,0,False,False,False,False,False,False,False,False,Two Year,True,Bank Withdrawal,19.55,1080.55,0.0,0,777.84,37527,33.956445,-118.358634,Female,57,False,0
2878,4,0,5970,9,61,Offer B,True,13.35,True,None,0,False,False,False,False,False,False,False,False,Two Year,True,Credit Card,24.1,1551.6,0.0,0,814.35,8316,35.151491,-117.927597,Female,23,True,0
5795,4,0,6050,1,53,None,True,20.44,False,None,0,False,False,False,False,False,False,False,False,One Year,False,Credit Card,20.2,1068.15,0.0,0,1083.3200000000002,28991,36.819628,-119.440414,Male,38,True,3
2291,1,1,3706,0,1,None,True,17.37,False,Fiber Optic,25,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,70.1,70.1,0.0,0,17.37,485,40.854512,-123.450097,Female,43,False,0
5888,3,0,5750,0,68,None,False,0.0,False,Cable,13,False,True,False,True,False,True,True,True,Month-to-Month,False,Bank Withdrawal,44.95,3085.35,0.0,0,0.0,41871,37.717196,-122.159338,Female,53,False,0
2068,2,1,3469,0,6,Offer E,True,16.58,False,Fiber Optic,17,False,False,True,False,True,True,True,False,Month-to-Month,False,Mailed Check,94.5,575.45,0.0,10,99.47999999999999,16041,33.917145,-118.401554,Male,53,False,0
6479,4,0,5024,1,61,Offer B,False,0.0,False,DSL,59,True,True,False,True,False,True,True,False,One Year,True,Bank Withdrawal,50.7,3088.75,0.0,20,0.0,46893,33.254497,-117.285879,Female,25,True,1
3444,3,0,6436,10,72,Offer A,True,27.97,False,None,0,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,19.7,1421.9,0.0,0,2013.84,11355,34.062095,-118.401508,Male,23,True,0
