,satisfaction_score,customer_status,cltv,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,population,latitude,longitude,gender,age,married,number_of_dependents
0,3,1,5433,0,1,None,False,0.0,False,DSL,8,False,False,True,False,False,True,False,False,Month-to-Month,True,Bank Withdrawal,39.65,39.65,0.0,20,0.0,68701,34.02381,-118.156582,Male,78,False,0
1,3,1,5302,1,8,Offer E,True,48.85,True,Fiber Optic,17,False,True,False,False,False,False,False,True,Month-to-Month,True,Credit Card,80.65,633.3,0.0,0,390.8,55668,34.044271,-118.185237,Female,74,True,1
2,2,1,3179,0,18,Offer D,True,11.33,True,Fiber Optic,52,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,47534,34.108833,-118.229715,Male,71,False,3
3,2,1,5337,1,25,Offer C,True,19.76,False,Fiber Optic,12,False,True,True,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,27778,33.936291,-118.332639,Female,78,True,1
4,2,1,2793,1,37,Offer C,True,6.33,True,Fiber Optic,14,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,26265,33.972119,-118.020188,Female,80,True,1
5,1,1,4638,0,27,Offer C,True,3.33,True,Fiber Optic,18,False,False,True,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,63288,33.989524,-118.089299,Female,72,False,1
6,2,1,3964,1,1,Offer E,True,15.28,False,Fiber Optic,30,False,False,False,False,False,False,False,True,Month-to-Month,True,Mailed Check,70.45,70.45,0.0,0,15.28,21343,33.79499,-118.065591,Female,76,True,2
7,1,1,5444,6,58,Offer B,False,0.0,False,DSL,24,False,True,True,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,10558,34.168686,-118.057505,Male,66,True,0
8,2,1,5717,0,15,Offer D,True,44.07,True,Fiber Optic,19,False,False,False,False,False,False,False,True,Month-to-Month,True,Mailed Check,74.45,1145.7,0.0,0,661.05,23742,34.139402,-118.128658,Female,70,False,2
9,2,1,4419,0,7,Offer E,True,26.95,False,Fiber Optic,18,True,False,False,False,False,False,False,False,Month-to-Month,False,Bank Withdrawal,76.45,503.6,11.05,0,188.65,32369,34.159007,-118.087353,Female,77,False,2
